"UNIVERSITY OF NORTHERN IOWA
DEPARTMENT OF PUBLIC SAFETY CRIME/FIRE LOG",,,,,
Case Number,Description,General Location,Date/Time Reported,Incident Occurrance Date/Time(s),Disposition
13-461,Traffic Criminal,Jennings Overflow lot,10/24/2013 0030,10/22/2013 0030 - 10/24/2013 0030,Open
13-463,Traffic Criminal,26th and Franklin,10/25/2013 0935,10/21/2013 0000 - 10/25/2013 0800,Open
13-465,Drug Law Violation,Noehren Hall,10/25/2013 1754,10/25/2013 1754,Unfounded
13-466,Theft,Maucker Union,10/25/2013¶ÿ 2119,10/26/2013 15:30 10/26/2013 2100,Open
13-468,Liquor Law Violation,Dancer Hall,10/27/2013 0308,10/27/2013 0308,Closed
13-470,Traffic Criminal,Stayer Wood Circle,10/28/2013 1514,10/28/2013 1514 ,Closed
13-471,Vandalism,Noerhern CP Lot,10/28/2013 1523,10/26/2013 1200 - 10/28/2013 0850,Open
13-472,Vandalism,Noerhern CP Lot,10/28/2013 1632,10/26/2013 0000 - 10/27/2013 1030,Open
N/A,Sexual Assault,Hagemann Hall,10/30/13,10/15/2013 0000- 10/15/2013 2359,Closed Referred CFPD
13-477,Theft,Maucker Union,10/30/2013 1357,10/30/2013 1257 - 10/30/2013 1357,Open
13-478,Theft,Innovated Teach and Tech,10/30/2013 2113,10/30/2013 1830 - 10/30/2013 2040,Open
13-479,Vandalism,Noehren CP Lot,10/31/2013 1358,10/25/2013 0000 - 10/31/2013 0030,Open
13-480,Theft,Gallagher Bluedorn,10/31/2013 1654,10/31/2013 1654,Open
13-481,Vandalism,Minnesota South Lot,10/31/2013 2339,10/31/2013 1900 -10/31/2013 2330,Closed
13-482,Vandalsim,Center for Multicultural Education,11/01/2013 0009,11/01/2013 0009,Closed
13-487,Theft,Gilchrist,11/01/2013 1313,11/01/2013 1313,Open
13-488,Liquor Law Violation,Dancer Hall,11/02/2013 0111,11/02/2013 0111,Closed
13-492,Liquor Law Violation,Campbell Hall,11/03/2013 0103,11/03/2013 0103,Closed
13-493,Theft,Dome,11/04/2013 1101,11/02/2013 0800 / 11/03/2013 2000,Open
13-495,Traffic Criminal,Roth Lot,11/04/2013 1516,11/04/2013 1000 - 11/04/2013 1400,Open
13-496,Drug Law Violation,Noerhern Hall,11/04/2013 1620,11/04/2013 1620,Unfounded
13-497,Traffic Criminal,Shull Hall,11/06/2013 1412,11/06/2013 1412,Open
13-498,Theft,Roth Hall,11/06/2013 1433,11/06/2013 1433,Open
N/A,Sexual Assault,Unknown Apartment,11/06/2013 1526,10/26/13,
13-500,Vandalism,Noehren CP Lot,11/08/2013 0027,11/03/2013 1800 - 11/08/2013 0027,Open
13-503,Theft,Dome,11/09/2013 1809,11/09/2013 1745-1809,Open
13-504,Drug Law Violation,Dancer Hall,11/09/2013 1957,11/09/2013 1950 -1957,Unfounded
13-505,Vandalism,Parking Ramp,11/10/2013 0252,11/10/2013 0250 - 11/10/2013 0252 ,Open
13-508,Fire,Noehren Hall,11/10/2013 2336,11/10/2013 2336,Closed
13-509,Theft,Dome,11/11/2013 0919,11/09/2013 1915,Open
13-513,Theft,Maucker Union,11/12/2013 0904,09/17/2013 0000 - 09/17/2013 2359,Open
13-511,Drug Law Violation,Noehren Hall,11/11/2013 2218,11/11/2013 2218,Closed
13-514,Drug Law Violation,Noehren Hall,11/12/2013 2128,11/12/2013 2128,Unfounded
N/A,Sexual Assault,Iowa City,11/13/12,11/01/2012 0001 - 04/302013 2359,Closed Referred 
13-522,Harassment,Campus,11/15/2013 1300,11/11/2013 0000 - 11-14-2013 2359,Open
13-523,Theft,Dome,11/15/2013 1315,11/14/2013 1950 - 11/14/2013 2310,Unfounded
13-524,Drug Law Violation,Noehren Hall,11/12/2013 1649,11/15/2013 1645 - 11/15/2013 1649,Open
13-525,Drug Law Violation,South Art Lot,11/16/2013 0117,11/16/2013 0117,Open
13-529,Harassment,Panther Village,11/18/2013 1045,11/18/2013 0907 ,Open
13-531,Harassment,Shull Hall,11/18/2013 2016,11/06/2013 2311,Open
13-350,Theft,Campbell Hall,11/18/2013 1500,11/16/2013 0900 - 11/18/2013 1000,Open
13-532,Drug Law Violation,Noehren Hall,11/18/2013 2219,11/18/2013 2219,Open
13-535,Drug Law Violation,Noehren Hall,11/19/2013 1812,11/19/2013 1812,Open
13-538,Theft,Redeker Center,11/20/2013 0817,11/16/2013 1725 - 11/16/2013 1745,Closed
13-539,Harassment,Off Campus,11/20/2013 0858,08/20/2013 0000 - 11/20/2013 0858,Open
13-540,Court Order Violation,Shull Hall,11/20/2013 1155,11/20/2013 1145,Open
13-541,Fraud,Gilchrist Hall,11/20/2013 1307,11/02/2013 0000 - 11/02/2013 2359,Unfounded
13-542,Theft,Bender Hall,11/20/2013 1503,11/12/2013 0000 - 11/20/2013 1503,Open
 N/A,Vandalism,Campbell B Lot,11/20/2013 1140,11/16/2013 0000 - 11/13/2013 2359,Open
13-543,Traffic Criminal,Off Campus,11/21/2013 1738,11/21/2013 2038,Closed
13-544,Theft,Curris Business Building,11/22/2013 0948,11/16/2013 0000 - 11/19/2013 2359,Open
13-546,Drug Law Violation,Noehren Hall,11/22/2013 2211,11/22/2013 2211,Open
13-549,Liquor Law Violation,Rider Hall,11/23/2013 0014,11/23/2013 0014,Closed
13-550,Theft,Wellness Recreation,11/23/2013 1317,11/18/2013 2000 - 11/18/2013 2200,Open
13-551,Theft,Dancer Hall,11/23/2013 1614,11/22/2013 1800 - 11/23/2013 1600,Closed
13-553,Vandalism,Noehren Hall,11/24/2013¶ÿ1013,11/24/2013 0030 - 11/24/2013 0947,Open
13-554,Vandalism,F Street Overflow Lot,11/24/2013 1257,11/23/2013 2300 - 11/24/2013 1257,Open
13-555,Burglary,South Art Lot,11/25/2013 1410,11/22/2013 0000 - 11/25/2013 1410,Open
13-562,Child Endangerment/ Obstruction of Emergency Communication,F Street ,12/02/2013 1503,11/30/2013 0800 - 12/02/2013 1500,Closed
13-563,Traffic Criminal,North Dome Lot,12/02/2013 1707,12/02/2013 0900 - 12/02/2013 1450,Open
13-565,Court Order Violation,Shull Hall,12/03/2013 1355,12/02/2013 0200 - 12/032013 1355,Open
13-566,Fire,Center for Energy and Envirnmental Education,12/03/2013 1510,12/03/2013 1510,Closed
13-567,Harassment,Lawther Hall,12/03/2013 1959,12/03/2013 1929 - 12/03/2013 1946,Unfounded
N/A,Vandalism,Noehren Hall,11/27/2012 1308,11/21/2013 0002 - 11/27/2013 2359,Open
13-572,Vandalism,Maucker Union,12/05/2013 1343,12/04/2013 2359 - 12/05/2013 1343,Open
13-574,Vandalism,Parking Ramp,12/07/2013 0053,12/07/2013 0040,Open
13-575,Drug Law Violation,Rider Hall,12/07/2013 2030,12/07/2013 2030,Unfounded
13-576,Assault,E St,12/08/2013 1535,12/07/2013 1535,Closed
13-577,Drug Law Violation,Hagemann Hall,12/08/2013 1756,12/08/2013 1756,Closed
13-578,Drug Law Violation,G St,12/08/2013 2014,12/08/2013 2014,Unfounded
13-579,Drug Law Violation,Noehren Hall,12/09/2013 2103,12/09/2013 2103,Open
13-580,Indecent Exposure,Campbell Lot,12/11/2013 0808,12/11/2013 0808,Open
13-582,Theft,Russell Hall,12/11/2013 2024,12/09/2013 0830 - 12/09/2013 0955,Unfounded
13-586,Theft,Gallager Bluedorn Performing Arts Center,12/12/2013 1602,12/06/2013 1200 - 12/10/2013 1500,Open
13-587,Drug Law Violation,Dancer Hall,12/12/2013 2207, 12/12/2013 2207,Unfounded
13-588,Indecent Exposure,Wellness Recreation,12/14/2013 1405,12/14/2013 1405,Closed
13-590,Assault,Dancer Hall,12/15/2013 1411,12/15/2013 1411,Closed
13-591,Harassment,Dancer Hall,12/15/2013 1506,12/13/2013 0900 - 12/15/2013 1500,Closed
13-593,Drug Law Violation,Dancer Hall,12/16/2013 0018,12/16/2013 0018 ,Open
